City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Jacala,MX,21.0167,-99.1833,78.98,46,89,9.24,overcast clouds
250,Severo-Kurilsk,RU,50.6789,156.125,55.81,96,100,9.1,overcast clouds
251,Neumunster,DE,54.0667,9.9833,74.07,65,61,3.0,broken clouds
252,Mount Darwin,ZW,-16.7725,31.5838,59.29,55,0,2.98,clear sky
253,Linxia,CN,35.6003,103.2064,67.78,86,100,1.66,moderate rain
254,Tiksi,RU,71.6872,128.8694,40.41,88,42,18.25,scattered clouds
255,Nouakchott,MR,18.0858,-15.9785,80.53,72,70,3.4,broken clouds
256,Sorland,NO,67.667,12.6934,51.66,82,74,16.49,broken clouds
257,Villazon,BO,-22.0866,-65.5942,57.09,9,59,11.83,broken clouds
258,Dunedin,NZ,-45.8742,170.5036,45.61,64,0,6.49,clear sky
259,Yarensk,RU,62.1675,49.0916,48.69,73,16,3.4,few clouds
260,Mount Gambier,AU,-37.8333,140.7667,45.99,95,13,5.97,few clouds
261,Belaya Gora,RU,68.5333,146.4167,41.18,90,100,13.06,overcast clouds
262,Imbituba,BR,-28.24,-48.6703,65.08,92,100,11.01,overcast clouds
263,Saint-Augustin,CA,51.226,-58.6502,68.76,65,78,6.49,broken clouds
264,Kaitangata,NZ,-46.2817,169.8464,43.2,75,5,10.49,clear sky
265,Huarmey,PE,-10.0681,-78.1522,65.28,77,36,9.95,scattered clouds
266,Norman Wells,CA,65.282,-126.8329,82.44,28,0,11.5,clear sky
267,Klyuchi,RU,52.2667,79.1667,68.13,46,100,13.27,overcast clouds
268,Lufilufi,WS,-13.8745,-171.5986,82.18,74,100,8.55,overcast clouds
269,Muli,MV,2.9167,73.5667,80.55,79,42,5.66,scattered clouds
270,Kodiak,US,57.79,-152.4072,56.71,82,100,8.05,overcast clouds
271,Araouane,ML,18.9048,-3.5265,98.89,27,7,5.59,clear sky
272,Talara,PE,-4.5772,-81.2719,74.16,68,0,12.66,clear sky
273,Roncesvalles,CO,4.0108,-75.6049,58.26,87,73,2.71,broken clouds
274,Shimanovsk,RU,52.0,127.7,58.46,86,63,1.01,broken clouds
275,Rio Grande,BR,-32.035,-52.0986,66.31,86,12,6.49,few clouds
276,Pevek,RU,69.7008,170.3133,34.3,80,81,6.98,broken clouds
277,Roebourne,AU,-20.7833,117.1333,68.81,61,31,5.7,light rain
278,Bambous Virieux,MU,-20.3428,57.7575,68.22,82,75,16.11,broken clouds
279,Belmonte,BR,-15.8631,-38.8828,72.19,72,78,13.31,broken clouds
280,Seguin,US,29.5688,-97.9647,100.6,43,99,12.33,overcast clouds
281,Palmer,US,42.1584,-72.3287,76.64,42,75,12.66,broken clouds
282,Jinchang,CN,38.4953,102.1739,72.54,48,100,4.27,overcast clouds
283,Pritzwalk,DE,53.1494,12.1741,66.34,75,97,7.38,overcast clouds
284,Port Lincoln,AU,-34.7333,135.8667,52.47,82,40,6.51,scattered clouds
285,Zambezi,ZM,-13.5432,23.1047,60.39,33,31,0.67,scattered clouds
286,Mumford,GH,5.2618,-0.759,74.19,87,89,16.11,overcast clouds
287,Firovo,RU,57.4814,33.7021,60.57,78,98,1.3,overcast clouds
288,San Patricio,US,28.017,-97.5169,94.15,54,99,9.46,overcast clouds
289,Waipawa,NZ,-41.4122,175.5153,45.54,70,3,3.09,clear sky
290,Balabac,PH,7.9868,117.0645,80.44,80,99,4.47,overcast clouds
291,Ahuimanu,US,21.4447,-157.8378,85.14,65,100,13.8,overcast clouds
292,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,47,40,17.27,light rain
293,Cabo San Lucas,MX,22.8909,-109.9124,93.61,69,40,12.66,scattered clouds
294,Mount Isa,AU,-20.7333,139.5,47.97,53,4,4.61,clear sky
295,Krasnokholmskiy,RU,55.9873,55.0466,52.03,71,32,5.61,scattered clouds
296,Alvaraes,BR,-3.2208,-64.8042,85.87,72,76,1.52,broken clouds
297,Olinda,BR,-8.0089,-34.8553,78.53,61,40,16.11,scattered clouds
298,Billings,US,45.7833,-108.5007,93.29,30,80,5.99,broken clouds
299,Bonavista,CA,48.6499,-53.1147,62.17,92,98,8.75,overcast clouds
300,Katobu,ID,-4.9408,122.5276,73.0,94,6,4.5,clear sky
301,Chipinge,ZW,-20.1883,32.6236,59.38,47,0,4.5,clear sky
302,Sabang,ID,5.8933,95.3214,82.0,73,79,10.36,broken clouds
303,Altamont,US,42.2068,-121.7372,87.4,12,0,1.01,clear sky
304,Sydney,AU,-33.8679,151.2073,52.9,71,75,10.36,broken clouds
305,Touros,BR,-5.1989,-35.4608,75.94,77,16,16.71,few clouds
306,Koungou,YT,-12.7336,45.2042,74.91,78,40,4.61,scattered clouds
307,Jumla,NP,29.2747,82.1838,60.22,92,34,2.37,scattered clouds
308,Banamba,ML,13.55,-7.45,77.59,76,16,6.6,light rain
309,Dubbo,AU,-32.25,148.6167,42.93,93,100,5.75,overcast clouds
310,Georgetown,MY,5.4112,100.3354,78.89,90,20,4.61,few clouds
311,Grumo Appula,IT,41.0135,16.7085,69.15,81,0,6.91,clear sky
312,Maningrida,AU,-12.0667,134.2667,65.32,86,15,10.11,few clouds
313,Isla Aguada,MX,18.7833,-91.4667,91.44,66,89,10.04,overcast clouds
314,Sinnamary,GF,5.3833,-52.95,80.74,76,75,14.58,broken clouds
315,Maniitsoq,GL,65.4167,-52.9,43.77,78,95,7.9,overcast clouds
316,Lorengau,PG,-2.0226,147.2712,82.36,71,100,6.55,overcast clouds
317,Turan,VN,16.0678,108.2208,78.78,89,20,1.14,few clouds
318,Bikin,RU,46.8161,134.26,62.17,97,100,1.95,overcast clouds
319,Kashi,CN,39.4547,75.9797,76.21,53,40,2.24,scattered clouds
320,Caranavi,BO,-15.8167,-67.55,70.75,64,33,2.91,scattered clouds
321,Morant Bay,JM,17.8815,-76.4093,83.82,73,80,9.04,light rain
322,Lincoln,US,40.8,-96.667,87.71,58,0,11.5,clear sky
323,Fort Nelson,CA,58.8053,-122.7002,80.19,54,20,0.0,few clouds
324,Troitskoye,RU,52.9821,84.6757,56.73,95,29,9.93,scattered clouds
325,Baglung,NP,28.2719,83.5898,71.13,91,96,2.1,overcast clouds
326,Antofagasta,CL,-23.65,-70.4,58.28,80,96,7.94,overcast clouds
327,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,91,0,13.8,clear sky
328,Bandarbeyla,SO,9.4942,50.8122,77.02,79,58,30.18,broken clouds
329,Oranjemund,NA,-28.55,16.4333,53.42,82,37,8.19,scattered clouds
330,Redlands,US,34.0556,-117.1825,105.08,24,40,10.36,scattered clouds
331,Duzce,TR,40.8389,31.1639,69.26,88,86,2.37,overcast clouds
332,Hambantota,LK,6.1241,81.1185,79.14,89,20,4.61,few clouds
333,Tabas,IR,33.5959,56.9244,81.23,17,0,6.11,clear sky
334,Carballo,ES,43.213,-8.691,65.89,89,2,4.07,clear sky
335,Kud,IN,33.0833,75.2833,63.16,86,79,3.38,broken clouds
336,Kassala,SD,15.451,36.4,78.44,76,100,11.74,overcast clouds
337,Marietta,US,33.9526,-84.5499,84.31,63,75,9.22,broken clouds
